director_name,actor_1_name,actor_2_name,movie_title,budget,imdb_score
Jonathan Dayton,Steve Carell,Steven Christopher Parker,Little Miss Sunshine ,8000000,7.9
Laurent Tirard,Louise Bourgoin,Sandrine Kiberlain,Little Nicholas ,,7.2
Steven Brill,Adam Sandler,Jon Lovitz,Little Nicky ,80000000,5.3
Frank Oz,Bill Murray,Jim Belushi,Little Shop of Horrors ,25000000,6.9
Mark Herman,Jim Broadbent,Annette Badland,Little Voice ,,7
Guillaume Canet,François Cluzet,Benoît Magimel,Little White Lies ,25000000,7.1
Gillian Armstrong,Christian Bale,Kirsten Dunst,Little Women ,15000000,7.3
Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,Littleman ,64000000,4.3
Guy Hamilton,Yaphet Kotto,Geoffrey Holder,Live and Let Die ,7000000,6.8
Len Wiseman,Bruce Willis,Jonathan Sadowski,Live Free or Die Hard ,110000000,7.2
Jorge Gaggero,Norma Aleandro,Hilda Bernard,Live-In Maid ,800000,7.2
David Hunt,Matthew Alan,Chris Cleveland,Living Dark: The Story of Ted the Caver ,1750000,6.3
Richard LaGravenese,Holly Hunter,Eddie Cibrian,Living Out Loud ,12000000,6.6
Gene Quintano,Jon Lovitz,Lin Shaye,Loaded Weapon 1,8200000,6.1
Guy Ritchie,Jason Statham,Jason Flemyng,"Lock, Stock and Two Smoking Barrels ",960000,8.2
Bruce Dellis,Tatyana Ali,Ricky Schroder,Locker 13,300000,4.8
James Mather,Joseph Gilgun,Vincent Regan,Lockout ,20000000,6.1
Michael Anderson,Farrah Fawcett,Jenny Agutter,Logan's Run ,9000000,6.8
Lisa Azuelos,Nora Dunn,Lina Esco,LOL ,11000000,4.3
Stanley Kubrick,James Mason,Shelley Winters,Lolita ,2000000,7.7
Stanley Kubrick,James Mason,Shelley Winters,Lolita ,2000000,7.7
Hunter Richards,Jason Statham,Chris Evans,London ,14000,6.6
Babak Najafi,Gerard Butler,Radha Mitchell,London Has Fallen ,60000000,5.9
Paul Andrew Williams,Lorraine Stanley,Johnny Harris,London to Brighton ,500000,7
John Sayles,Matthew McConaughey,Clifton James,Lone Star ,5000000,7.6
Peter Berg,Jerry Ferrara,Scott Elrod,Lone Survivor ,40000000,7.6
Steve Carver,David Carradine,William Sanderson,Lone Wolf McQuade ,5000000,6.3
Steve Buscemi,Kevin Corrigan,Seymour Cassel,Lonesome Jim ,500000,6.6
Joe Dante,Brendan Fraser,Jenna Elfman,Looney Tunes: Back in Action ,80000000,5.7
Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Looper ,30000000,7.4
Ferzan Ozpetek,Riccardo Scamarcio,Alessandro Preziosi,Loose Cannons ,,7.3
Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Lord of War ,50000000,7.6
Catherine Hardwicke,Heath Ledger,Michael Angarano,Lords of Dogtown ,25000000,7.1
Antonio Simoncini,Ray Winstone,Joe Egan,Lords of London ,3440000,3.1
Amy Heckerling,Andy Dick,Robert Miano,Loser ,20000000,5.3
Curtis Hanson,Tom Cruise,Shelley Long,Losin' It ,7000000,4.8
Stephen Hopkins,Gary Oldman,William Hurt,Lost in Space ,80000000,5.1
Sofia Coppola,Scarlett Johansson,Bill Murray,Lost in Translation ,4000000,7.8
Janusz Kaminski,Philip Baker Hall,Bob Clendenin,Lost Souls ,28000000,4.8
Erik White,Brandon T. Jackson,Loretta Devine,Lottery Ticket ,,4.9
Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Love & Basketball ,15000000,7.2
Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Love & Other Drugs ,30000000,6.7
Richard Curtis,Colin Firth,Liam Neeson,Love Actually ,45000000,7.7
Richard Kwietniowski,Jason Priestley,Maury Chaykin,Love and Death on Long Island ,,7.1
Emma-Kate Croghan,Radha Mitchell,Frances O'Connor,Love and Other Catastrophes ,250000,6.4
Brandon Camp,Judy Greer,Sasha Alexander,Love Happens ,18000000,5.6
Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Love in the Time of Cholera ,45000000,6.4
Matt Jackson,Kane Hodder,Paul Elia,Love in the Time of Monsters ,500000,5.4
Theodore Witcher,Leonard Roberts,Nia Long,Love Jones ,10000000,7.4
Amy Holden Jones,Jamie Lee Curtis,Sally Kirkland,Love Letters ,550000,6.1
Robert D. Webb,James Drury,Neville Brand,Love Me Tender ,1000000,6.2
Taylor Hackford,Scout Taylor-Compton,Bai Ling,Love Ranch ,25000000,5.7
Jeff Franklin,Ivana Milicevic,Tyra Banks,Love Stinks ,4000000,5.8
Jessie Nelson,Olivia Wilde,Alex Borstein,Love the Coopers ,17000000,5.7
Michael Landon Jr.,William Morgan Sheppard,Kevin Gage,Love's Abiding Joy ,3000000,7.2
Nicole Holofcener,Aunjanue Ellis,Brenda Blethyn,Lovely & Amazing ,250000,6.9
Nicholas Fackler,Adam Scott,Ellen Burstyn,"Lovely, Still ",5000000,7.3
,Antonia Thomas,Johnny Flynn,Lovesick             ,,7.9
Katherine Brooks,Ilene Graff,Kevin McCarthy,Loving Annabelle ,1000000,6.7
Peter Cattaneo,James Nesbitt,Olivia Williams,Lucky Break ,6000000,6.2
Paul McGuigan,Bruce Willis,Morgan Freeman,Lucky Number Slevin ,27000000,7.8
Paul McGuigan,Bruce Willis,Morgan Freeman,Lucky Number Slevin ,27000000,7.8
Nora Ephron,Michael Rapaport,Michael Moore,Lucky Numbers ,65000000,5
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Lucky You ,55000000,5.9
Luc Besson,Scarlett Johansson,Morgan Freeman,Lucy ,40000000,6.4
José Luis Valenzuela,Cheech Marin,Lupe Ontiveros,Luminarias ,1000000,3.6
,Ruth Wilson,Indira Varma,Luther             ,,8.6
,David Ogden Stiers,Jamie Farr,M*A*S*H             ,,8.4
Jorma Taccone,Jasper Cole,Will Forte,MacGruber ,10000000,5.5
Ethan Maniquis,Robert De Niro,Don Johnson,Machete ,10500000,6.7
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Machete Kills ,20000000,5.6
Giuliano Montaldo,John Cassavetes,Gena Rowlands,Machine Gun McCain ,,6.2
Marc Forster,Gerard Butler,Madeline Carroll,Machine Gun Preacher ,30000000,6.8
Costa-Gavras,Mia Kirshner,Blythe Danner,Mad City ,50000000,6.2
Marilyn Agrelo,Heather Berman,Eva Carrozza,Mad Hot Ballroom ,,7.5
George Miller,Hugh Keays-Byrne,Steve Bisley,Mad Max ,200000,7
George Miller,Vernon Wells,Bruce Spence,Mad Max 2: The Road Warrior,2000000,7.6
George Miller,Tina Turner,Bruce Spence,Mad Max Beyond Thunderdome ,12305523,6.2
George Miller,Tom Hardy,Charlize Theron,Mad Max: Fury Road ,150000000,8.1
Callie Khouri,Stephen Root,Ted Danson,Mad Money ,22000000,5.8
Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Madadayo ,11900000,7.5
Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Madagascar ,75000000,6.9
Eric Darnell,Jada Pinkett Smith,Martin Short,Madagascar 3: Europe's Most Wanted,145000000,6.9
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Madagascar: Escape 2 Africa,150000000,6.7
Jon Favreau,Jon Favreau,Faizon Love,Made ,5000000,6.4
Nigel Cole,Bob Hoskins,Robbie Kay,Made in Dagenham ,7200000,7.2
Paul Weiland,Busy Philipps,Beau Garrett,Made of Honor ,40000000,5.8
Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Madea Goes to Jail ,,4.1
Tyler Perry,Boris Kodjoe,Cicely Tyson,Madea's Family Reunion ,6000000,5
Tyler Perry,John Amos,Tom Arnold,Madea's Witness Protection ,20000000,4.8
William Bindley,Bruce Dern,Jake Lloyd,Madison ,,6.5
Henry Hobson,Joely Richardson,J.D. Evermore,Maggie ,8500000,5.6
Steven Soderbergh,Channing Tatum,Alex Pettyfer,Magic Mike ,7000000,6.1
Gregory Jacobs,Matt Bomer,Channing Tatum,Magic Mike XXL ,14800000,5.7
Paul Thomas Anderson,Patton Oswalt,Neil Flynn,Magnolia ,37000000,8
Wayne Wang,Bob Hoskins,Frances Conroy,Maid in Manhattan ,55000000,5.1
Sam Peckinpah,James Coburn,Slim Pickens,Major Dundee ,3800000,6.8
David S. Ward,Corbin Bernsen,Tom Berenger,Major League ,11000000,7.2
Spike Lee,Denzel Washington,Delroy Lindo,Malcolm X ,33000000,7.7
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Maleficent ,180000000,7
Stevan Mena,R. Brandon Johnson,Stevan Mena,Malevolence ,200000,5.1
John Whitesell,Greg Grunberg,Regina Hall,Malibu's Most Wanted ,16000000,5.1
Kevin Smith,Ethan Suplee,Jason Mewes,Mallrats ,6000000,7.2
Harley Cokeliss,Cliff Robertson,Tracey Walter,Malone ,10000000,5.6
Andrés Muschietti,Javier Botet,Megan Charpentier,Mama ,20000000,6.2
Émile Gaudreault,Paul Sorvino,Luke Kirby,Mambo Italiano ,5000000,6.7
Phyllida Lloyd,Colin Firth,Meryl Streep,Mamma Mia! ,52000000,6.3
Zack Snyder,Henry Cavill,Christopher Meloni,Man of Steel ,225000000,7.2
Stephen Herek,Christina Milian,Vanessa Ferlito,Man of the House ,40000000,5.4
Barry Levinson,Robin Williams,Tina Fey,Man of the Year ,20000000,6.2
Asger Leth,Robert Clohessy,Mandy Gonzalez,Man on a Ledge ,42000000,6.6
Tony Scott,Denzel Washington,Radha Mitchell,Man on Fire ,70000000,7.7
Milos Forman,Matt Price,Gerry Becker,Man on the Moon ,52000000,7.4
James Marsh,Paul McGill,Philippe Petit,Man on Wire ,1000000,7.8
Justin Chadwick,Terry Pheto,Fana Mokoena,Mandela: Long Walk to Freedom ,35000000,7.1
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Manderlay ,14200000,7.4
Franck Khalfoun,America Olivo,Nora Arnezeder,Maniac ,6000000,6.1
Eric Eason,Franky G,Panchito Gómez,Manito ,24000,7
Bruce Beresford,Bruce Greenwood,Suzie Steen,Mao's Last Dancer ,,7.4
Luc Jacquet,Morgan Freeman,Sofie Gråbøl,March of the Penguins ,8000000,7.6
Dick Richards,Catherine Deneuve,Terence Hill,March or Die ,9000000,6.3
Richard Benjamin,Damon Wayans,Jane Krakowski,Marci X ,20000000,2.8
Kenneth Lonergan,Matt Damon,Kieran Culkin,Margaret ,14000000,6.5
J.C. Chandor,Kevin Spacey,Demi Moore,Margin Call ,3500000,7.1
Joshua Marston,Catalina Sandino Moreno,Wilson Guerrero,Maria Full of Grace ,3000000,7.5
Sofia Coppola,Kirsten Dunst,Shirley Henderson,Marie Antoinette ,40000000,6.4
Randall Miller,William Hurt,Elden Henson,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,34000,7.1
David Frankel,Eric Dane,Kathleen Turner,Marley & Me ,60000000,7.1
Tom Dey,Emma Stone,Judy Greer,Marmaduke ,50000000,4.2
Ira Sachs,David Richmond-Peck,Erin Boyes,Married Life ,12000000,6.3
Tim Burton,Natalie Portman,Martin Short,Mars Attacks! ,70000000,6.3
Simon Wells,Elisabeth Harnois,Dan Fogler,Mars Needs Moms ,150000000,5.4
Sean Durkin,Christopher Abbott,Julia Garner,Martha Marcy May Marlene ,,6.9
Menno Meyjes,Oliver Platt,Richard Schiff,Martian Child ,27000000,6.8
David Raynr,Nancy O'Dell,Mikki Padilla,Martin Lawrence Live: Runteldat ,3000000,5.4
Jerry Zaks,Leonardo DiCaprio,Robert De Niro,Marvin's Room ,23000000,6.7
Robert Stevenson,Ed Wynn,Glynis Johns,Mary Poppins ,6000000,7.8
Stephen Frears,Julia Roberts,Bronagh Gallagher,Mary Reilly ,47000000,5.8
Larry Charles,Jeff Bridges,Cheech Marin,Masked and Anonymous ,,5.5
Peter Weir,James D'Arcy,Lee Ingleby,Master and Commander: The Far Side of the World ,150000000,7.4
Woody Allen,Scarlett Johansson,Mark Gatiss,Match Point ,15000000,7.7
James Ivory,Rupert Graves,Denholm Elliott,Maurice ,2600000,7.8
Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Max ,20000000,6.8
Tim Hill,Noel Fisher,Amber Valletta,Max Keeble's Big Move ,12000000,5.3
John Moore,Mila Kunis,Beau Bridges,Max Payne ,35000000,5.4
Ringo Lam,Natasha Henstridge,Zach Grenier,Maximum Risk ,25000000,5.4
Lucky McKee,James Duval,Will Estes,May ,500000,6.7
Niki Caro,Morgan Saylor,Valente Rodriguez,"McFarland, USA ",17000000,7.4
,Tim Conway,Gavin MacLeod,McHale's Navy             ,,7.5
Richard Linklater,Zoe Kazan,Aidan McArdle,Me and Orson Welles ,25000000,6.8
Miranda July,Najarra Townsend,Brad William Henke,Me and You and Everyone We Know ,2000000,7.4
Thea Sharrock,Sam Claflin,Emilia Clarke,Me Before You ,20000000,7.6
Jaime Zevallos,Angela Sarafyan,Jaime Zevallos,Me You and Five Bucks ,1500000,7.6
Bobby Farrelly,Robert Forster,Tony Cox,"Me, Myself & Irene ",51000000,6.5
Jacob Aaron Estes,Rory Culkin,Scott Mechlowicz,Mean Creek ,500000,7.3
Mark Waters,Tina Fey,Amy Poehler,Mean Girls ,17000000,7
Barry Skolnick,Jason Statham,Jason Flemyng,Mean Machine ,2500000,6.5
Martin Scorsese,Robert De Niro,David Carradine,Mean Streets ,500000,7.4
John McTiernan,Lorraine Bracco,José Wilker,Medicine Man ,40000000,6
Kelly Reichardt,Bruce Greenwood,Zoe Kazan,Meek's Cutoff ,,6.5
Brian Robbins,Marc Blucas,Mike O'Malley,Meet Dave ,60000000,4.9
Martin Brest,Anthony Hopkins,Brad Pitt,Meet Joe Black ,90000000,7.1
,Lamman Rucker,David Mann,Meet the Browns             ,,3.5
Steve Boyum,Paul Walker,M.C. Gainey,Meet the Deedles ,24000000,3.9
Jay Roach,Robert De Niro,Blythe Danner,Meet the Fockers ,80000000,6.3
Jay Roach,Robert De Niro,Blythe Danner,Meet the Parents ,55000000,7
Jason Friedberg,Carmen Electra,Diedrich Bader,Meet the Spartans ,30000000,2.7
Hal Needham,Barry Bostwick,Michael Beck,Megaforce ,20000000,3.5
Tom McGrath,J.K. Simmons,Brad Pitt,Megamind ,130000000,7.3
Brian Trenchard-Smith,Michael Biehn,Udo Kier,Megiddo: The Omega Code 2,22000000,4.1
Lars von Trier,Alexander Skarsgård,Kirsten Dunst,Melancholia ,7400000,7.1
Christopher Nolan,Callum Rennie,Thomas Lennon,Memento ,9000000,8.5
Rob Marshall,Li Gong,Mako,Memoirs of a Geisha ,85000000,7.3
John Carpenter,Richard Epcar,Michael McKean,Memoirs of an Invisible Man ,40000000,5.9
Barry Sonnenfeld,Will Smith,Rip Torn,Men in Black ,90000000,7.3
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Men in Black 3,225000000,6.8
Barry Sonnenfeld,Will Smith,Rosario Dawson,Men in Black II ,140000000,6.1
George Tillman Jr.,Robert De Niro,Charlize Theron,Men of Honor ,32000000,7.2
Perry Lang,Catherine Bell,Kevin Tighe,Men of War ,8600000,5.8
Paul Gross,Molly Parker,Paul Gross,Men with Brooms ,7500000,6
Albert Hughes,Jada Pinkett Smith,Larenz Tate,Menace II Society ,3500000,7.5
Harold Becker,Bruce Willis,Miko Hughes,Mercury Rising ,60000000,6.1
Harold Becker,Bruce Willis,Miko Hughes,Mercury Rising ,60000000,6.1
Jon Gunn,Stacy Keach,David A.R. White,Mercy Streets ,600000,5.6
Luis Mandoki,Robin Wright,John Savage,Message in a Bottle ,55000000,6.1
Nimród Antal,James Hetfield,Mackenzie Gray,Metallica Through the Never ,,7.2
Ronald Neame,Martin Landau,Karl Malden,Meteor ,16000000,4.9
Fritz Lang,Brigitte Helm,Gustav Fröhlich,Metropolis ,6000000,8.3
Whit Stillman,Chris Eigeman,Taylor Nichols,Metropolitan ,225000,7.5
Robert Fontaine,Michael Derek,Arturo Castro,Mi America ,2100000,7.2
,Don Johnson,Philip Michael Thomas,Miami Vice             ,1500000,7.5
Tony Gilroy,Tom Wilkinson,Denis O'Hare,Michael Clayton ,25000000,7.3
Neil Jordan,Alan Rickman,Liam Neeson,Michael Collins ,28000000,7.1
Don Kempf,Bill Murray,Michael Jordan,Michael Jordan to the Max ,,7.5
Kelly Makin,Jeanne Tripplehorn,Burt Young,Mickey Blue Eyes ,40000000,5.8
Jean-Pierre Jeunet,Omar Sy,Dany Boon,Micmacs ,27000000,7.2
Ava DuVernay,Omari Hardwick,David Oyelowo,Middle of Nowhere ,200000,6.5
Pece Dingo,Michael Des Barres,Wilhelm von Homburg,Midnight Cabaret ,,4.5
John Schlesinger,Brenda Vaccaro,Barnard Hughes,Midnight Cowboy ,3600000,7.9
Woody Allen,Kurt Fuller,Audrey Fleurot,Midnight in Paris ,17000000,7.7
Clint Eastwood,Kevin Spacey,Bob Gunton,Midnight in the Garden of Good and Evil ,30000000,6.6
Martin Brest,Robert De Niro,Yaphet Kotto,Midnight Run ,30000000,7.6
Jeff Nichols,Kirsten Dunst,Sam Shepard,Midnight Special ,18000000,6.7
Ron Underwood,Charlize Theron,Mika Boorem,Mighty Joe Young ,90000000,5.6
Gus Van Sant,James Franco,Denis O'Hare,Milk ,20000000,7.6
Craig Gillespie,Jon Hamm,Suraj Sharma,Million Dollar Arm ,25000000,7
Clint Eastwood,Clint Eastwood,Morgan Freeman,Million Dollar Baby ,30000000,8.1
Renny Harlin,LL Cool J,Clifton Collins Jr.,Mindhunters ,27000000,6.4
Kyle Balda,Steve Carell,Jon Hamm,Minions ,74000000,6.4
Steven Spielberg,Tom Cruise,Frank Grillo,Minority Report ,102000000,7.7
Gavin O'Connor,Eddie Cahill,Noah Emmerich,Miracle ,28000000,7.5
Spike Lee,Joseph Gordon-Levitt,Omari Hardwick,Miracle at St. Anna ,45000000,6
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Miracles from Heaven ,13000000,6.8
Tarsem Singh,Julia Roberts,Nathan Lane,Mirror Mirror ,85000000,5.6
Dave McKean,Stephanie Leonidas,Gina McKee,Mirrormask ,4000000,6.9
Alexandre Aja,Jason Flemyng,Cameron Boyce,Mirrors ,35000000,6.2
Shintaro Shimosawa,Al Pacino,Anthony Hopkins,Misconduct ,11000000,5.3
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Miss Congeniality ,45000000,6.2
John Pasquin,Eileen Brennan,Diedrich Bader,Miss Congeniality 2: Armed and Fabulous,45000000,5
Liv Ullmann,Samantha Morton,Jessica Chastain,Miss Julie ,5500000,5.6
Zach Cregger,Hugh M. Hefner,Windell Middlebrooks,Miss March ,6000000,5.1
Chris Noonan,Emily Watson,Bill Paterson,Miss Potter ,30000000,7
Brian De Palma,Don Cheadle,Connie Nielsen,Mission to Mars ,90000000,5.6
Brian De Palma,Tom Cruise,Kristin Scott Thomas,Mission: Impossible ,80000000,7.1
Brad Bird,Tom Cruise,Jeremy Renner,Mission: Impossible - Ghost Protocol ,145000000,7.4
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Mission: Impossible - Rogue Nation ,150000000,7.4
John Woo,Tom Cruise,Dougray Scott,Mission: Impossible II ,125000000,6.1
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Mission: Impossible III ,150000000,6.9
François Truffaut,Catherine Deneuve,Jean-Paul Belmondo,Mississippi Mermaid ,1600000,7.2
Spike Lee,Denzel Washington,Nicholas Turturro,Mo' Better Blues ,10000000,6.5
John Huston,Royal Dano,Richard Basehart,Moby Dick ,4500000,7.4
Ken Shapiro,Brian Doyle-Murray,Dabney Coleman,Modern Problems ,8000000,5
Charles Chaplin,Paulette Goddard,Stanley Blystone,Modern Times ,1500000,8.6
Laurent Tirard,Romain Duris,Ludivine Sagnier,Molière ,16000000,7.3
John Duigan,Elaine Hendrix,Jill Hennessy,Molly ,21000000,5.8
Frank Perry,Faye Dunaway,Xander Berkeley,Mommie Dearest ,5000000,6.7
Andrew Erwin,Alex Kendrick,Sarah Drew,Moms' Night Out ,5000000,5.4
Mike Newell,Julia Roberts,Kirsten Dunst,Mona Lisa Smile ,65000000,6.4
Fernando León de Aranoa,Luis Tosar,Enrique Villén,Mondays in the Sun ,4000000,7.7
Jodie Foster,Julia Roberts,Jack O'Connell,Money Monster ,27000000,6.7
Brett Ratner,Heather Locklear,Paul Sorvino,Money Talks ,25000000,6.1
Joseph Ruben,Vincent Pastore,Robert Blake,Money Train ,68000000,5.6
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Moneyball ,50000000,7.6
Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Mongol: The Rise of Genghis Khan ,20000000,7.3
Henry Selick,Brendan Fraser,Bridget Fonda,Monkeybone ,75000000,4.7
Mira Nair,Naseeruddin Shah,Randeep Hooda,Monsoon Wedding ,7000000,7.4
Patty Jenkins,Charlize Theron,Bruce Dern,Monster ,4500000,7.3
Gil Kenan,Steve Buscemi,Jon Heder,Monster House ,75000000,6.6
Robert Luketic,Adam Scott,Jane Fonda,Monster-in-Law ,60000000,5.5
Marc Forster,Heath Ledger,Peter Boyle,Monster's Ball ,4000000,7.1
Gareth Edwards,Scoot McNairy,Whitney Able,Monsters ,500000,6.4
Dan Scanlon,Steve Buscemi,Tyler Labine,Monsters University ,200000000,7.3
Rob Letterman,Amy Poehler,Rainn Wilson,Monsters vs. Aliens ,175000000,6.5
Pete Docter,Steve Buscemi,John Ratzenberger,"Monsters, Inc. ",115000000,8.1
Thomas Bezucha,Leighton Meester,Luke Bracey,Monte Carlo ,20000000,5.8
Terry Gilliam,Eric Idle,Michael Palin,Monty Python and the Holy Grail ,229575,8.3
Duncan Jones,Kevin Spacey,Matt Berry,Moon ,5000000,7.9
Brad Silberling,Jake Gyllenhaal,Holly Hunter,Moonlight Mile ,21000000,6.7
Lewis Gilbert,Desmond Llewelyn,Lois Chiles,Moonraker ,34000000,6.3
Wes Anderson,Bruce Willis,Bill Murray,Moonrise Kingdom ,16000000,7.8
Qasim Basir,Dorian Missick,Nia Long,Mooz-Lum ,,6.7
Roger Michell,Noah Bean,Patti D'Arbanville,Morning Glory ,40000000,6.5
Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Mortal Kombat ,18000000,5.8
John R. Leonetti,Brian Thompson,Talisa Soto,Mortal Kombat: Annihilation ,30000000,3.7
David Koepp,Johnny Depp,Olivia Munn,Mortdecai ,60000000,5.5
Lynne Ramsay,Samantha Morton,Bryan Dick,Morvern Callar ,,6.7
Rodrigo García,Naomi Watts,Jimmy Smits,Mother and Child ,4825000,7.2
Katherine Dieckmann,Stephanie Szostak,Minnie Driver,Motherhood ,5000000,4.7
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Moulin Rouge! ,52500000,7.6
Elizabeth Banks,Hugh Jackman,Kate Winslet,Movie 43,6000000,4.3
René Féret,Nicolas Giraud,Clovis Fouin,Mozart's Sister ,,6.4
Charles Stone III,Bernie Mac,Chris Noth,Mr 3000,30000000,5.5
Doug Liman,Brad Pitt,Angelina Jolie Pitt,Mr. & Mrs. Smith ,120000000,6.5
Steve Bendelack,Lily Atkinson,Emma de Caunes,Mr. Bean's Holiday ,25000000,6.3
Bruce Beresford,Mckenna Grace,Lucy Fry,Mr. Church ,8000000,8
Steven Brill,Steve Buscemi,Adam Sandler,Mr. Deeds ,50000000,5.8
Stephen Herek,Alicia Witt,Olympia Dukakis,Mr. Holland's Opus ,6500000,7.3
Sammo Kam-Bo Hung,Sammo Kam-Bo Hung,Richard Norton,Mr. Nice Guy ,,6.2
Rob Minkoff,Ty Burrell,Zach Callison,Mr. Peabody & Sherman ,145000000,6.9
Mark Waters,Madeline Carroll,Ophelia Lovibond,Mr. Popper's Penguins ,55000000,6
Frank Capra,Claude Rains,Jean Arthur,Mr. Smith Goes to Washington ,1500000,8.2
Mike Leigh,Lesley Manville,Ruth Sheen,Mr. Turner ,8200000,6.8
Stephen Frears,Bob Hoskins,Christopher Guest,Mrs Henderson Presents ,20000000,7.1
Chris Columbus,Robin Williams,Mara Wilson,Mrs. Doubtfire ,25000000,6.9
Richard Benjamin,Brendan Fraser,Jane Krakowski,Mrs. Winterbourne ,25000000,6.2
Kenneth Branagh,Keanu Reeves,Denzel Washington,Much Ado About Nothing ,8000000,7.4
Jeff Nichols,Matthew McConaughey,Tye Sheridan,Mud ,10000000,7.4
Tony Bancroft,Ming-Na Wen,Harvey Fierstein,Mulan ,90000000,7.5
David Lynch,Naomi Watts,Robert Forster,Mulholland Drive ,15000000,8
Harold Ramis,John de Lancie,Brian Doyle-Murray,Multiplicity ,45000000,6
Lawrence Kasdan,Zooey Deschanel,Alfre Woodard,Mumford ,28000000,6.9
Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Munich ,70000000,7.6
Tim Hill,Josh Charles,F. Murray Abraham,Muppets from Space ,24000000,6.2
James Bobin,Ty Burrell,Tina Fey,Muppets Most Wanted ,50000000,6.4
Barbet Schroeder,Ryan Gosling,Chris Penn,Murder by Numbers ,50000000,6.1
Barbet Schroeder,Ryan Gosling,Chris Penn,Murder by Numbers ,50000000,6.1
Henry Alex Rubin,Mark Zupan,Joe Bishop,Murderball ,1750211,7.8
Marc Lawrence,Brad Garrett,Scott Porter,Music and Lyrics ,,6.5
Gary David Goldberg,Stockard Channing,Victor Webster,Must Love Dogs ,30000000,5.9
David Winning,Ashanti,Amber Marshall,Mutant World ,1500000,2.8
Andrew Bujalski,Andrew Bujalski,Kate Dollenmayer,Mutual Appreciation ,,6.9
Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Mutual Friends ,450000,6.8
Cheryl Dunye,Michael Imperioli,Marsha Thomason,My Baby's Daddy ,,4.5
Stephen Frears,Saeed Jaffrey,Roshan Seth,My Beautiful Laundrette ,650000,6.9
Howard Deutch,Dane Cook,Taran Killam,My Best Friend's Girl ,40000000,5.9
P.J. Hogan,Julia Roberts,Christopher Masterson,My Best Friend's Wedding ,46000000,6.3
Joel Zwick,Nia Vardalos,Louis Mandylor,My Big Fat Greek Wedding ,5000000,6.6
Kirk Jones,Nia Vardalos,Louis Mandylor,My Big Fat Greek Wedding 2,18000000,6.1
Philip Zlotorynski,Neil Hopkins,Darren Keefe Reiher,My Big Fat Independent Movie ,3000000,3.3
Patrick Lussier,Jensen Ackles,Jaime King,My Bloody Valentine ,15000000,5.5
Kar-Wai Wong,Natalie Portman,Norah Jones,My Blueberry Nights ,10000000,6.7
David Zucker,Carmen Electra,Tyler Labine,My Boss's Daughter ,14000000,4.6
Jonathan Lynn,Fred Gwynne,Bruce McGill,My Cousin Vinny ,11000000,7.5
Jon Gunn,John August,Brian Herzlinger,My Date with Drew ,1100,6.6
Jay Russell,Clint Howard,Frankie Muniz,My Dog Skip ,5000000,7
Paul Fierlinger,Isabella Rossellini,Peter Gerety,My Dog Tulip ,,6.9
George Cukor,Jeremy Brett,Rex Harrison,My Fair Lady ,17000000,7.9
Donald Petrie,Steven Anthony Lawrence,Ray Walston,My Favorite Martian ,65000000,4.9
Peter Segal,Wilford Brimley,Bradley Whitford,My Fellow Americans ,21500000,6.5
Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,My Girl ,16500000,6.8
Stefan C. Schaefer,Nicole Beharie,Marlene Forte,My Last Day Without You ,1000000,5.7
Donald Petrie,Nia Vardalos,Harland Williams,My Life in Ruins ,17000000,5.9
Isabel Coixet,Sarah Polley,Julian Richings,My Life Without Me ,2000000,7.6
Dennie Gordon,Leehom Wang,Ruby Lin,My Lucky Star ,,5.1
Bruce Campbell,Ted Raimi,Dan Hicks,My Name Is Bruce ,1500000,6.3
Karan Johar,Shah Rukh Khan,Jimmy Shergill,My Name Is Khan ,12000000,8
Gus Van Sant,Keanu Reeves,Udo Kier,My Own Private Idaho ,2500000,7.1
